# Wavelength(AA) FluxDensity(erg/s/cm^2/AA) FluxDensityError(erg/s/cm^2/AA)
6.023180418754631319e+03 -2.246363553259983037e-22 1.311144632765189591e-21
6.066657812433072650e+03 -1.866861734748349242e-21 1.175684072952021981e-21
6.111022918638613191e+03 -9.047263816434062182e-22 1.177657361962429586e-21
6.156311473680200834e+03 1.726242142822525824e-21 1.026063447850748895e-21
6.202567438228316860e+03 -7.954417914125002024e-22 1.228105237845960132e-21
6.249840747687201656e+03 1.344046715153856957e-21 1.259831613598728350e-21
6.298131973221695262e+03 1.851140195001107149e-21 1.085409969570315314e-21
6.347476249258402277e+03 -2.215099304165347700e-22 1.033652312319244482e-21
6.397908495802205834e+03 2.950192177452380419e-21 1.181127704098813099e-21
6.449463390433417771e+03 1.189589308021759254e-21 1.181892226727997503e-21
6.502175340129669166e+03 -1.454024128355495463e-21 1.042208755481060873e-21
6.556101861673026178e+03 -1.019709455493296214e-21 1.075919936320361741e-21
6.611281563275560075e+03 -7.791903010124652579e-22 1.030781978117758958e-21
6.663893967594513924e+03 -5.315635358824155996e-22 9.430530890477277838e-22
6.721568995571846244e+03 -1.456419479706930926e-21 9.502591555338279310e-22
6.780578796918196531e+03 2.355712333276406522e-22 9.735461245324673920e-22
6.840955453881585527e+03 7.231718128354803724e-22 8.968595816565080158e-22
6.902780451762141638e+03 1.177724125984444933e-21 9.358400095353553865e-22
6.966236833385585669e+03 8.989003799601341707e-22 8.729561742165540551e-22
7.031174877736688359e+03 1.706206013098847138e-21 8.178098888663070644e-22
7.097624237501858261e+03 4.927001609726503865e-22 7.464562990691705808e-22
7.165895429877140486e+03 -4.421341063805395529e-22 7.411185179589211944e-22
7.235802358201660354e+03 3.416639573044768830e-22 7.199217081107014294e-22
7.307451493475844472e+03 1.470424659473988768e-21 7.165683760095500830e-22
7.381018065356173793e+03 1.279775616456424434e-21 6.873882274802380267e-22
7.456375688958851242e+03 5.695820098676390272e-22 6.835165812531692398e-22
7.533791668017736811e+03 9.426141602933313435e-22 6.620434457055034535e-22
7.613169912326125086e+03 7.480218490778798090e-22 6.395075438374466022e-22
7.694611317731159033e+03 1.688234098903928824e-21 6.654760659176386424e-22
7.778301468516752720e+03 1.228364297142511180e-21 6.310460361780192191e-22
7.864139844083621938e+03 1.078542450658766716e-21 6.342660948637518912e-22
7.952229693796529318e+03 1.527392244230110677e-21 6.252372624546637489e-22
8.042776703091341005e+03 7.398284913829967137e-22 6.211673763290041274e-22
8.135755017913637857e+03 4.092789563354816536e-22 6.119050942884923243e-22
8.231222878588952881e+03 2.729590321167955920e-22 6.309549797891521020e-22
8.329262851165633037e+03 1.193484062496113893e-21 6.317879037032897401e-22
8.429951366354120182e+03 3.250115515920792236e-22 6.065491964329702204e-22
8.533358505746477022e+03 1.170834578498319135e-21 5.630747293975754003e-22
8.639547816396598137e+03 2.692816243280761468e-21 5.897785222639733083e-22
8.748576154855380082e+03 1.806325986678551005e-21 5.522729586068805402e-22
8.860614189635069124e+03 1.592225080455565872e-21 5.555343538209031196e-22
8.975629430251954545e+03 1.512611547587678844e-21 5.362822662263456631e-22
9.093636324419681841e+03 9.707169800378509063e-22 5.258351318052203554e-22
9.214814829354119865e+03 1.802910041109208124e-21 5.125129935576742734e-22
9.339121437214727848e+03 2.080657898619517933e-21 5.088847608758906133e-22
9.466655153348996464e+03 1.942608882056730948e-21 5.148415522708380014e-22
9.597384828730455411e+03 1.776231794683561017e-21 5.059434779860059360e-22
9.731474511045125837e+03 2.961150251140821531e-21 5.001588522929876510e-22
9.868824785658218389e+03 1.136012492129592684e-21 4.732839664659259808e-22
1.000947713254331211e+04 1.734576172085490969e-21 4.698128003523519686e-22
1.015345436729873836e+04 1.542615459371817654e-21 4.600880390818975681e-22
1.030076123598427148e+04 1.468883176111407080e-21 4.462182715653258348e-22
1.045138515169357743e+04 2.256064566988245392e-21 4.334877894831856354e-22
1.060529705604389710e+04 2.082634079584698676e-21 4.326676106698658944e-22
1.076245238766736293e+04 1.963697755297665817e-21 4.404675817692281064e-22
1.092279213914481261e+04 1.960095583381363303e-21 4.034408001477354528e-22
1.108624398364999070e+04 1.829655168468609568e-21 3.936766132314658724e-22
1.125273651037073068e+04 2.112473204409957338e-21 3.854652027304010355e-22
1.142224379965897242e+04 2.386379844290430463e-21 3.760677873977790954e-22
1.159457992049234053e+04 1.787144492902204426e-21 3.596249701223171952e-22
1.176971204623073572e+04 1.841665496197494712e-21 3.501360462720021629e-22
1.194745681308191524e+04 1.751059992407405787e-21 3.530591468964539989e-22
1.212775823171623415e+04 1.505904470536684475e-21 3.504096502781311538e-22
1.231041846880947560e+04 1.797632995746582081e-21 3.404971078590906373e-22
1.249532489163954779e+04 1.554287989158393919e-21 3.269355278850483639e-22
1.268234362291846992e+04 1.408597280376471371e-21 3.394221016197199336e-22
1.287129802368406126e+04 1.371584696201070570e-21 3.327955353790582231e-22
1.306203923174949887e+04 2.104477394809990658e-21 3.329466729392800173e-22
1.325441448951781967e+04 2.368910863020112108e-21 3.242297729606290885e-22
1.344827254232686573e+04 1.493736196207785632e-21 3.300614138728366684e-22
1.364345805863619717e+04 1.521363288031721042e-21 3.266151928673629186e-22
1.383981019244451636e+04 1.486563708429271232e-21 3.183629478552334856e-22
1.403717842765533169e+04 1.903369547572877090e-21 3.216285295721606337e-22
1.423541552750592746e+04 1.302708564697758920e-21 3.297613033759686153e-22
1.443437846267456007e+04 1.359078902897451687e-21 3.105057424907641515e-22
1.463392916986339151e+04 1.474922102327946366e-21 3.197491350342684842e-22
1.483393515435428890e+04 8.409312235221168620e-22 3.259031163089250321e-22
1.503426995090476521e+04 6.734512561804548958e-22 3.157662124506433151e-22
1.523481345766726372e+04 8.321216960633221523e-22 3.153800558132110084e-22
1.543545215768634989e+04 1.225742495794284531e-21 3.158430876309508209e-22
1.563607924216034189e+04 1.264066190715780954e-21 3.274633776110471154e-22
1.583659464891357857e+04 1.409887049483167691e-21 3.160263869435355013e-22
1.603690502874709455e+04 1.665746870820223991e-21 3.156621139600706132e-22
1.623692365131767292e+04 1.472707903771270774e-21 3.204862891045444105e-22
1.643657026118985959e+04 1.461312788729851155e-21 3.218631011324189106e-22
1.663577089367025837e+04 1.520095463127783201e-21 3.229158194934626303e-22
1.683445765896106241e+04 1.095282410327815847e-21 3.169732553493826867e-22
1.703256850217039391e+04 1.389288065186948982e-21 3.238541629829774158e-22
1.723004694576759357e+04 1.445217203938069764e-21 3.169771221240565848e-22
1.742684182015527040e+04 6.967426366094993321e-22 3.041420999425854051e-22
1.762290698720519504e+04 5.963506030853452803e-22 2.997310909508180793e-22
1.781820106087313616e+04 1.070763289633816280e-21 3.264930603442651703e-22
1.801268712829085052e+04 2.443120995768200531e-22 3.332516493680554052e-22
1.820633247414929792e+04 7.780380052760498171e-22 2.883887115200513891e-22
1.839910673063433933e+04 1.041309498591512057e-21 2.751442984500451973e-22
1.859097760939524596e+04 9.136727146604232735e-22 2.741456010817327495e-22
1.878193029030298567e+04 7.502697626924323124e-22 2.671708371146116334e-22
1.897194617299616220e+04 6.046548135531727115e-22 2.714865959584807150e-22
1.916100960144110650e+04 7.483706105818392946e-22 2.726204491080473517e-22
1.934910579544811117e+04 7.004408757336514821e-22 2.714075175058360616e-22
1.953620953132460272e+04 7.021378647170132164e-22 2.789375487526519034e-22
1.972232718357373233e+04 7.360618773116352015e-22 2.742908396007910902e-22
1.990745275774099355e+04 7.878751141261607397e-22 2.512975401708894356e-22
2.009156888879973485e+04 5.769117952332997054e-22 2.611636032368233637e-22
2.027467401345475810e+04 2.137580195437368856e-23 2.424027208414037968e-22
2.045677790549513884e+04 5.384194715635600087e-22 2.621593678856988627e-22
2.063786182863241265e+04 1.663910409853354857e-22 2.596864378983906880e-22
2.081793562665847639e+04 5.575776010571546009e-22 2.567713361836348587e-22
2.099700706700617229e+04 7.729683179399669302e-22 2.618153578410211202e-22
2.117505649766070201e+04 8.694315195449294610e-22 2.552893817491463341e-22
2.135211706728149511e+04 1.032729123535490252e-21 2.546952258236601837e-22
2.152815909483948417e+04 1.300703192837703262e-21 2.561255503505842239e-22
2.170322136258795217e+04 9.654781437567649032e-22 2.568628282112007346e-22
2.187727655965113081e+04 1.413487735767212599e-21 2.530206218169060495e-22
2.205036479503824012e+04 1.133654493480515616e-21 2.498699367763182779e-22
2.222245408336707624e+04 1.609228347856152493e-21 2.434746299844719440e-22
2.239358689950846383e+04 1.494644241906901389e-21 2.428907666979226967e-22
2.256374672439009373e+04 1.280761320005199605e-21 2.406751917131936680e-22
2.273295143239048411e+04 1.358933735355476651e-21 2.336920950610428313e-22
2.290121752174530047e+04 1.638346417674655311e-21 2.435800435878810862e-22
2.306852483540087633e+04 1.273411204246255988e-21 2.336827928736114166e-22
2.323490960651494606e+04 1.567203774923101985e-21 2.300351267483860737e-22
2.340037898512346146e+04 1.660101870400287267e-21 2.336723390261678713e-22
2.356491601575180539e+04 1.653690672503073254e-21 2.214518288945012360e-22
2.372855390238781547e+04 1.397714413387121200e-21 2.248731351003625280e-22
2.389130067721527303e+04 1.263609717889739958e-21 2.317255889375686784e-22
2.405315985231554805e+04 7.924602722067146981e-22 2.132519791026812892e-22
2.421412987920645901e+04 1.292021881927569180e-21 1.856685133097724513e-22
2.437423460361627804e+04 1.230453337120661076e-21 2.172014659885230951e-22
2.453348238191829296e+04 9.849632316801121656e-22 2.264625550483417131e-22
2.469188166299485965e+04 1.030048063427406730e-21 2.212522780562092924e-22
2.484944097316999978e+04 6.040282615730366142e-22 2.035884521611515881e-22
2.500615939775039078e+04 1.042006219368765084e-21 2.046445068417614867e-22
2.516205461867549457e+04 7.336048622542608081e-22 2.172873393346702297e-22
2.531713716800681868e+04 9.994990832544418421e-22 2.131255255237615046e-22
2.547141573659790811e+04 7.224288991644135437e-22 1.939347233338632596e-22
2.562489903096700436e+04 3.728407663430548191e-22 1.964639315894020577e-22
2.577759576381887382e+04 5.141136824724772932e-22 1.854669246528273622e-22
2.592951464529112127e+04 5.401485110490851007e-22 1.806183163262976410e-22
2.608066437487031726e+04 6.137663458735537900e-22 2.111487352745046570e-22
2.623105363393556763e+04 6.735761819982176859e-22 1.834112082458395852e-22
2.638069107888948929e+04 7.317389401087266004e-22 1.967113518465279211e-22
2.652958533484608051e+04 9.177732382275871098e-22 2.011525414609948949e-22
2.667774498983602098e+04 4.987330530806014098e-22 2.036494881038472659e-22
2.682517858948445428e+04 4.983917085234282453e-22 2.206161140368558708e-22
2.697189463215501746e+04 7.925438470446877734e-22 2.217714878326372832e-22
2.711790156450695940e+04 3.272218867488183693e-22 1.946415493557458061e-22
2.726320777745496162e+04 3.595075339671487416e-22 1.966553939369435902e-22
2.740782160248981018e+04 4.827193211144796440e-22 1.710928526153246836e-22
2.755175130835038362e+04 6.689348766529939977e-22 1.877385872179159174e-22
2.769499585520020992e+04 1.210017494731312488e-21 1.947220110607290956e-22
2.783756967127519965e+04 7.756634243204029616e-22 2.233637634495409583e-22
2.797948273942488595e+04 3.447625083835068940e-22 2.001769660100231597e-22
2.812074307212175700e+04 8.623658743048306675e-22 1.779106358205318592e-22
2.826135860674675860e+04 8.359273516004775788e-22 1.903006479517176676e-22
2.840133720386274217e+04 6.582308639204335836e-22 1.998946380552458107e-22
2.854067045506992872e+04 6.342446838145819976e-22 1.939861481131023957e-22
2.867938015962273130e+04 3.007377804164600013e-22 1.841690368877435458e-22
2.881747512782812555e+04 5.941872991369826720e-22 2.038267809514527636e-22
2.895496292095982426e+04 8.203893039335145536e-22 1.981678801888096220e-22
2.909183683172270685e+04 7.966403804831010728e-22 1.806878841387799026e-22
2.922811058830955517e+04 7.127986308978493117e-22 1.721324316264873241e-22
2.936379852798944194e+04 8.696458960831212650e-22 1.856304661146564726e-22
2.949890510999810431e+04 8.949827929299068817e-22 1.926982111044653943e-22
2.963341834533249857e+04 3.652786454196810820e-22 1.954288417387482688e-22
2.976736648022299050e+04 1.117414162450186837e-21 2.008141939337067287e-22
2.990075652640400949e+04 7.823609601608886059e-22 2.111603340967899065e-22
3.003356831231198157e+04 1.039248386594806067e-21 1.998640860704911041e-22
3.016583490014496783e+04 8.769044763057044307e-22 2.007360625077187780e-22
3.029755832346554962e+04 8.809091809453418120e-22 1.829854956857529866e-22
3.042872543841498918e+04 7.369688310714484250e-22 1.834831774112272057e-22
3.055936692271952052e+04 8.015473430504982838e-22 2.068775993490591562e-22
3.068947176275567836e+04 6.643250994730003483e-22 2.022070390545379015e-22
3.081904964715453389e+04 1.092855036469380661e-21 1.814590766007259419e-22
3.094811665559928952e+04 7.568737224686083116e-22 2.058442348142435294e-22
3.107665370603877454e+04 3.975313671970427804e-22 1.877541599742470710e-22
3.120469582086660012e+04 5.921985421023857833e-22 1.887539619746235110e-22
3.133222056724011054e+04 5.237743904467846143e-22 1.628584973229347351e-22
3.145925581906115622e+04 1.256878459072550151e-21 2.079908080715692238e-22
3.158579086199263111e+04 6.061580000846023705e-22 1.979122326871167592e-22
3.171184080734780218e+04 4.271771684434495641e-22 2.055896209240640181e-22
3.183740438930379605e+04 8.814045254771051128e-22 1.824757841787348560e-22
3.196249011903891733e+04 1.251621953914993576e-21 1.708792643323575365e-22
3.208710012206967804e+04 1.089987669205403229e-21 2.106634610606138194e-22
3.221124226607787568e+04 8.664988819051065229e-22 1.832542627441250507e-22
3.233491621467697041e+04 5.931189976332789389e-22 1.771632033495715841e-22
3.245813494734690903e+04 6.815145181227490902e-22 1.878690609283303376e-22
3.258089001187752365e+04 1.189750063593378155e-21 1.882836999982802125e-22
3.270320505814168791e+04 1.143624705406504635e-21 2.302112529397367669e-22
3.282505805876440718e+04 9.969580925965248110e-22 1.968084693803075256e-22
3.294648233569291915e+04 6.570441173327916503e-22 2.217287322212415851e-22
3.306745611166972230e+04 5.714565979560556092e-22 2.046545585335859376e-22
3.318800218432646216e+04 7.645849533208815760e-22 2.250286566420272002e-22
3.330811914986171905e+04 5.612181989949244392e-22 1.997403277570040919e-22
3.342780300364271534e+04 8.408249846278457656e-22 1.638243480873441223e-22
3.354707595833161758e+04 6.402277259214317260e-22 2.114834519220435500e-22
3.366591867414651642e+04 3.012604107037168663e-22 2.012797884313289773e-22
3.378435209052912251e+04 -9.872834641188564075e-23 1.979504529740182129e-22
3.390238232986708317e+04 8.733042691245957901e-22 1.683327803352270212e-22
3.401999138812669116e+04 1.730755988567870247e-22 1.781513651271597293e-22
3.413720651396607718e+04 7.927876047081883798e-22 1.827003081631180469e-22
3.425402593141386023e+04 5.341366782671875399e-22 1.934561196327705163e-22
3.437043824464781937e+04 3.960915488162934709e-22 1.633932637975860162e-22
3.448646627608235576e+04 1.533209704216770994e-22 2.333448038474411774e-22
3.460211099556853151e+04 4.694615343159607393e-22 1.865666500385671233e-22
3.471735711239948432e+04 5.469746531517183684e-22 1.947220809092348500e-22
3.483222831808280898e+04 5.266495577481713569e-22 1.863547199961880437e-22
