# Wavelength(AA) FluxDensity(erg/s/cm^2/AA) FluxDensityError(erg/s/cm^2/AA)
6.007655720574846782e+03 2.297077460073343881e-20 1.313952451803020493e-20
6.050792016174384116e+03 1.757027484373334793e-20 6.907982463367501461e-21
6.094880755935761954e+03 1.396578947714421119e-20 7.606985888075252306e-21
6.139906376604170873e+03 2.208927835105176580e-21 7.541833748507122723e-21
6.185862932236438610e+03 -3.392964179307660579e-20 6.650670187799793070e-21
6.232785954410241175e+03 1.732020685889516698e-20 7.919131856102595632e-21
6.280710828352079261e+03 5.366526860604423912e-21 6.926775642427157766e-21
6.329672765545977200e+03 3.330735618815979906e-21 6.740178405997273615e-21
6.379706776069182524e+03 -1.247290375661932087e-20 6.865410574445536160e-21
6.430847640694611982e+03 -9.830981677219735682e-21 6.394857314265395072e-21
6.483129882798318249e+03 -4.841942808772511208e-22 6.357162174097968425e-21
6.536587740109855986e+03 1.129318423743549160e-20 6.094642785207418941e-21
6.591255136349685927e+03 -5.259541766363817205e-21 5.820139656561626210e-21
6.647173715847062340e+03 7.932226495813712918e-21 5.828925428749707389e-21
6.704437928166536949e+03 1.236878018763467595e-20 5.625558401162796693e-21
6.763103182876864594e+03 6.044983325945891349e-21 5.260763926891833098e-21
6.823132510498297052e+03 1.196840528193819656e-21 5.088766446818349205e-21
6.884557578921115237e+03 6.570653523381643233e-22 4.815216669121913133e-21
6.947423823390790858e+03 1.984636429317291173e-20 4.881635849586488386e-21
7.011937537986931602e+03 1.279350165887467295e-20 4.620544078501433918e-21
7.078026700156601692e+03 2.664972357781450725e-21 4.313391453985635912e-21
7.145654396871260360e+03 4.832529592006378723e-21 4.027896409420115451e-21
7.215111869920769095e+03 6.480319144909610215e-21 3.917256006975236466e-21
7.286266031084242059e+03 1.008588365378336154e-20 3.621420270582273395e-21
7.359215616143224906e+03 1.068748092326517287e-20 3.448852363789981745e-21
7.434094817820892786e+03 2.726058265258045966e-21 3.504287972041129594e-21
7.510860454523759472e+03 -7.826087735662244883e-22 3.439499333434884042e-21
7.589649927998073508e+03 4.727965065257270762e-21 3.371726442951342517e-21
7.670536847878073786e+03 -3.068498533498857203e-21 3.198340055902633260e-21
7.753476869303446620e+03 9.260290265474976836e-22 3.233296189838615308e-21
7.838699424637012271e+03 7.562301480690643694e-21 3.054375257876502502e-21
7.926194564372882269e+03 7.009438711270781124e-21 3.009789815246389841e-21
