  GW170817_H1            f_GR= 6499 tau_GR= 0.16ms a_f=0.684 | 3ms: f=7605 tau=0.51 snr=2.8 delta=2.210+-0.139 used=False | 6ms: delta=2.210
  GW170817_L1            f_GR= 6499 tau_GR= 0.16ms a_f=0.684 | 3ms: f=8124 tau=0.51 snr=3.3 delta=2.210+-0.125 used=False | 6ms: delta=2.210
  GW150914_H1            f_GR=  250 tau_GR= 4.05ms a_f=0.671 | 3ms: f=250 tau=4.33 snr=7.4 delta=0.071+-0.288 used=True | 6ms: delta=0.924
  GW150914_L1            f_GR=  250 tau_GR= 4.05ms a_f=0.671 | 3ms: f=225 tau=4.33 snr=8.9 delta=0.071+-0.286 used=True | 6ms: delta=-0.230
  GW151012_H1            f_GR=  387 tau_GR= 2.64ms a_f=0.681 | 3ms: f=252 tau=1.36 snr=1.9 delta=-0.486+-2.456 used=False | 6ms: delta=2.210
  GW151012_L1            f_GR=  387 tau_GR= 2.64ms a_f=0.681 | 3ms: f=252 tau=4.19 snr=3.0 delta=0.586+-0.696 used=False | 6ms: delta=0.481
  GW151226_H1            f_GR=  762 tau_GR= 1.38ms a_f=0.705 | 3ms: f=542 tau=4.44 snr=0.8 delta=2.210+-0.299 used=False | 6ms: delta=2.210
  GW151226_L1            f_GR=  762 tau_GR= 1.38ms a_f=0.705 | 3ms: f=969 tau=4.44 snr=2.3 delta=2.210+-0.317 used=False | 6ms: delta=2.210
  GW170104_H1            f_GR=  290 tau_GR= 3.43ms a_f=0.659 | 3ms: f=281 tau=5.37 snr=4.0 delta=0.567+-0.640 used=False | 6ms: delta=2.210
  GW170104_L1            f_GR=  290 tau_GR= 3.43ms a_f=0.659 | 3ms: f=200 tau=3.43 snr=4.6 delta=0.000+-0.781 used=False | 6ms: delta=-0.688
  GW170608_H1            f_GR=  914 tau_GR= 1.13ms a_f=0.689 | 3ms: f=823 tau=3.62 snr=2.2 delta=2.210+-0.284 used=False | 6ms: delta=0.902
  GW170608_L1            f_GR=  914 tau_GR= 1.13ms a_f=0.689 | 3ms: f=960 tau=1.91 snr=2.2 delta=0.688+-0.635 used=False | 6ms: delta=2.210
  GW170729_H1            f_GR=  154 tau_GR= 7.20ms a_f=0.741 | 3ms: f=133 tau=23.13 snr=5.3 delta=2.210+-0.152 used=True | 6ms: delta=2.210
  GW170729_L1            f_GR=  154 tau_GR= 7.20ms a_f=0.741 | 3ms: f=100 tau=2.24 snr=2.9 delta=-0.688+-3.502 used=False | 6ms: delta=1.833
  GW170809_H1            f_GR=  256 tau_GR= 4.05ms a_f=0.693 | 3ms: f=320 tau=11.48 snr=2.4 delta=1.833+-0.407 used=False | 6ms: delta=-0.688
  GW170809_L1            f_GR=  256 tau_GR= 4.05ms a_f=0.693 | 3ms: f=314 tau=13.01 snr=2.7 delta=2.210+-0.296 used=False | 6ms: delta=2.210
  GW170814_H1            f_GR=  289 tau_GR= 3.64ms a_f=0.705 | 3ms: f=355 tau=3.64 snr=3.0 delta=0.000+-1.022 used=False | 6ms: delta=-0.688
  GW170814_L1            f_GR=  289 tau_GR= 3.64ms a_f=0.705 | 3ms: f=289 tau=11.68 snr=4.2 delta=2.210+-0.267 used=False | 6ms: delta=2.210
  GW170818_H1            f_GR=  233 tau_GR= 4.28ms a_f=0.660 | 3ms: f=205 tau=13.75 snr=1.8 delta=2.210+-0.335 used=False | 6ms: delta=2.210
  GW170818_L1            f_GR=  233 tau_GR= 4.28ms a_f=0.660 | 3ms: f=233 tau=10.71 snr=5.2 delta=1.500+-0.294 used=True | 6ms: delta=2.210
  GW170823_H1            f_GR=  197 tau_GR= 5.25ms a_f=0.691 | 3ms: f=274 tau=1.74 snr=3.5 delta=-0.668+-3.089 used=False | 6ms: delta=2.210
  GW170823_L1            f_GR=  197 tau_GR= 5.25ms a_f=0.691 | 3ms: f=128 tau=1.64 snr=1.9 delta=-0.688+-3.676 used=False | 6ms: delta=2.210
  GW190403_051519_H1     f_GR=   88 tau_GR=14.76ms a_f=0.824 | 3ms: f=91 tau=47.38 snr=4.0 delta=2.210+-0.215 used=False | 6ms: delta=2.210
  GW190403_051519_L1     f_GR=   88 tau_GR=14.76ms a_f=0.824 | 3ms: f=98 tau=47.38 snr=4.1 delta=2.210+-0.250 used=False | 6ms: delta=2.210
  GW190408_181802_H1     f_GR=  316 tau_GR= 3.18ms a_f=0.665 | 3ms: f=326 tau=10.19 snr=3.8 delta=2.210+-0.258 used=False | 6ms: delta=1.816
  GW190408_181802_L1     f_GR=  316 tau_GR= 3.18ms a_f=0.665 | 3ms: f=300 tau=5.71 snr=1.8 delta=0.797+-0.669 used=False | 6ms: delta=-0.544
  GW190412_H1            f_GR=  403 tau_GR= 2.40ms a_f=0.634 | 3ms: f=317 tau=7.71 snr=2.4 delta=2.210+-0.314 used=False | 6ms: delta=-0.600
  GW190412_L1            f_GR=  403 tau_GR= 2.40ms a_f=0.634 | 3ms: f=463 tau=7.71 snr=2.2 delta=2.210+-0.365 used=False | 6ms: delta=2.210
  GW190413_052954_H1     f_GR=  194 tau_GR= 5.12ms a_f=0.658 | 3ms: f=233 tau=16.45 snr=1.8 delta=2.210+-0.361 used=False | 6ms: delta=2.210
  GW190413_052954_L1     f_GR=  194 tau_GR= 5.12ms a_f=0.658 | 3ms: f=200 tau=16.45 snr=2.7 delta=2.210+-0.255 used=False | 6ms: delta=2.210
  GW190413_134308_H1     f_GR=  131 tau_GR= 7.49ms a_f=0.646 | 3ms: f=100 tau=24.05 snr=3.5 delta=2.210+-0.280 used=False | 6ms: delta=2.210
  GW190413_134308_L1     f_GR=  131 tau_GR= 7.49ms a_f=0.646 | 3ms: f=101 tau=4.75 snr=4.8 delta=-0.366+-1.250 used=False | 6ms: delta=1.321
  GW190421_213856_H1     f_GR=  162 tau_GR= 6.06ms a_f=0.644 | 3ms: f=125 tau=4.99 snr=4.4 delta=-0.176+-0.974 used=False | 6ms: delta=2.210
  GW190421_213856_L1     f_GR=  162 tau_GR= 6.06ms a_f=0.644 | 3ms: f=156 tau=19.45 snr=3.4 delta=2.210+-0.328 used=False | 6ms: delta=2.210
  GW190426_190642_H1     f_GR=   60 tau_GR=18.48ms a_f=0.744 | 3ms: f=56 tau=59.32 snr=3.0 delta=2.210+-0.234 used=False | 6ms: delta=2.210
  GW190426_190642_L1     f_GR=   60 tau_GR=18.48ms a_f=0.744 | 3ms: f=42 tau=59.32 snr=5.1 delta=2.210+-0.204 used=True | 6ms: delta=2.210
  GW190503_185404_H1     f_GR=  194 tau_GR= 5.08ms a_f=0.650 | 3ms: f=126 tau=16.32 snr=3.2 delta=2.210+-0.270 used=False | 6ms: delta=0.668
  GW190503_185404_L1     f_GR=  194 tau_GR= 5.08ms a_f=0.650 | 3ms: f=217 tau=16.32 snr=2.7 delta=2.210+-0.304 used=False | 6ms: delta=2.210
  GW190512_180714_H1     f_GR=  378 tau_GR= 2.59ms a_f=0.643 | 3ms: f=297 tau=8.30 snr=1.4 delta=2.210+-0.303 used=False | 6ms: delta=-0.329
  GW190512_180714_L1     f_GR=  378 tau_GR= 2.59ms a_f=0.643 | 3ms: f=526 tau=2.24 snr=2.1 delta=-0.133+-1.259 used=False | 6ms: delta=2.210
  GW190513_205428_H1     f_GR=  235 tau_GR= 4.37ms a_f=0.685 | 3ms: f=219 tau=14.03 snr=6.2 delta=2.210+-0.155 used=True | 6ms: delta=1.060
  GW190513_205428_L1     f_GR=  235 tau_GR= 4.37ms a_f=0.685 | 3ms: f=247 tau=14.03 snr=1.4 delta=2.210+-0.288 used=False | 6ms: delta=2.210
  GW190514_065416_H1     f_GR=  152 tau_GR= 6.42ms a_f=0.642 | 3ms: f=99 tau=10.24 snr=3.8 delta=0.595+-0.536 used=False | 6ms: delta=2.210
  GW190514_065416_L1     f_GR=  152 tau_GR= 6.42ms a_f=0.642 | 3ms: f=120 tau=7.36 snr=1.8 delta=0.147+-0.961 used=False | 6ms: delta=-0.006
  GW190517_055101_H1     f_GR=  243 tau_GR= 5.22ms a_f=0.814 | 3ms: f=297 tau=16.76 snr=2.7 delta=2.210+-0.289 used=False | 6ms: delta=2.210
  GW190517_055101_L1     f_GR=  243 tau_GR= 5.22ms a_f=0.814 | 3ms: f=251 tau=10.04 snr=4.5 delta=0.924+-0.450 used=False | 6ms: delta=1.500
  GW190519_153544_H1     f_GR=  126 tau_GR= 9.17ms a_f=0.765 | 3ms: f=111 tau=29.43 snr=2.7 delta=2.210+-0.311 used=False | 6ms: delta=2.210
