# prove_* functions of um.py v368 (sha256 4a34fbf36f3ae0d8bf56249d30bb1185cdee01767ec6e4f0a20433a4ac2d261e), top-level, as sealed: name, line, first byte, last byte (HTTP Range: bytes=first-last)
name	line	byte_first	byte_last
prove_alpha_form	712	40269	46976
prove_contour_theory	1188	70552	83392
prove_inverse_parity_renorm	1319	83393	91685
prove_vacuum_impedance_bridge	1411	91686	96999
prove_three_clock_radical	1491	97000	102901
prove_right_angle_mirror_projection	1571	102902	116652
prove_em_mark_status	1732	116653	122961
prove_amar_functional	1822	122962	127325
prove_alpha_irreducibility	1877	127326	134475
prove_nome_irreducible	1983	134476	139122
prove_alpha_infinity_is_absolute_zero	2040	139123	143833
prove_em_grav_bridge	2096	143834	147615
prove_smatrix_crossed_product	2150	147616	150512
prove_U_loc_covariance	2190	150513	154701
prove_thermal_two_level_identity	2268	155507	159032
prove_verb_generator	2335	160526	164949
prove_light_eigenvector	2408	164950	167226
prove_fiat_lux_counterfactual	2443	167227	170637
prove_fiat_lux_flow	2493	170638	175345
prove_boundary_reads_IR	2570	175346	178705
prove_smatrix_dual_weight	2618	178706	180848
prove_void_floor_margin	2651	180849	182386
prove_dipole_antipode	2674	182387	186058
prove_dipole_antipode_masked	2735	186059	192166
prove_dephasing_crossover	2831	192167	194776
prove_neutrino_mass_gravitational	2873	194777	201246
prove_neutrino_shapiro_protocol	2958	201247	206654
prove_boundary_exception	3037	206655	212174
prove_global_lift_conditional	3114	212175	217664
prove_code_closure_ledger	3195	217665	226034
prove_observer_rescue	3310	226035	233868
prove_conjugate_act	3423	233869	241403
prove_decision_commutation	3533	241404	258957
prove_void_floor_v12_bilateral	3779	258958	284519
prove_neutrino_sum_protocol	4198	284520	289606
prove_forbidden_boundary	4270	289607	297429
prove_light_is_J	4377	297430	303603
prove_evidence_audit	4467	303604	310005
prove_neutrino_m2	4567	310006	318731
prove_rho_plus_p_closure	4686	318732	323717
prove_neff_channel	4757	323718	328383
prove_evento2_audit	4824	328384	331251
prove_the_nucleus	4866	331252	338677
prove_the_great_attractor	4972	338678	345401
prove_the_five_halves	5069	345402	353390
